Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Davis-Schuppe,Germany,Banking and Finance,Micro,Jessica Martinez,4/15/2024,Services,Churned Customer,7,,,856,60,9/29/2024,7/11/2024
Huel-Dooley,Belgium,Banking and Finance,Micro,Sarah Davis,2/10/2024,SAAS,Churned Customer,7,,,555,40,7/27/2024,3/18/2024
Bergstrom LLC,Portugal,Transportation & Logistics,Micro,Jessica Martinez,4/4/2024,Services,Churned Customer,7,,,1035,70,8/20/2024,7/25/2024
"Considine, Collins and Hudson",Portugal,Entertainment & Media & Hospitality,Micro,Jessica Martinez,2/25/2024,SAAS,Churned Customer,7,,,566,30,12/9/2024,6/1/2024
Kunde-Lindgren,Netherlands,Telecommunications,Micro,Jessica Martinez,1/18/2024,Services,Churned Customer,7,,,722,90,11/4/2024,5/3/2024
Crooks Group,France,Telecommunications,Micro,Laura Thompson,1/16/2024,Services,Churned Customer,7,,,1000,80,4/15/2024,2/3/2024
O'Conner Group,Italy,Agriculture & Mining,Micro,Michael Brown,2/18/2024,Custom solution,Churned Customer,7,,,898,60,3/27/2024,4/13/2024
Bogan-Goyette,Netherlands,Telecommunications,Micro,Laura Thompson,5/23/2024,Services,Churned Customer,7,,,786,30,12/3/2024,9/10/2024
"Hilll, Runolfsdottir and Barrows",Switzerland,Transportation & Logistics,Micro,Emily Johnson,2/23/2024,SAAS,Churned Customer,7,,,843,40,6/29/2024,6/16/2024
"Lubowitz, McClure and Hettinger",Spain,IT & IT Services,Micro,Kevin Anderson,5/1/2024,SAAS,Churned Customer,7,,,608,20,3/16/2025,8/20/2024
Herman LLC,Italy,IT & IT Services,Micro,Laura Thompson,1/5/2024,Services,Churned Customer,7,,,285,20,7/16/2024,1/22/2024
Bednar-Schuppe,Portugal,Retail & Distribution,Micro,Jessica Martinez,3/15/2024,Custom solution,Churned Customer,7,,,950,20,12/25/2024,7/6/2024
Reynolds-Olson,Germany,Transportation & Logistics,Micro,Jessica Martinez,4/6/2024,SAAS,Churned Customer,7,,,1095,40,9/20/2024,4/6/2024
"Jacobi, Johnson and Harris",France,Government Administration Healthcare,Micro,Laura Thompson,5/21/2024,Services,Churned Customer,7,,,668,90,8/20/2024,8/7/2024
Beatty Group,Belgium,Banking and Finance,Micro,Laura Thompson,1/26/2024,Services,Churned Customer,7,,,993,50,9/29/2024,2/14/2024
"Hettinger, Kuhic and Dooley",Germany,Banking and Finance,Micro,John Smith,2/7/2024,SAAS,Churned Customer,7,,,670,50,4/9/2024,4/1/2024
O'Kon-Fay,France,Banking and Finance,Micro,Jessica Martinez,2/13/2024,SAAS,Churned Customer,7,,,442,20,9/8/2024,5/24/2024
Leuschke LLC,Germany,Transportation & Logistics,Micro,Laura Thompson,1/31/2024,Custom solution,Churned Customer,7,,,375,70,7/16/2024,3/13/2024
"Dooley, Stracke and Wiegand",Italy,Energy & Utilities,Micro,Kevin Anderson,2/28/2024,SAAS,Churned Customer,7,,,258,40,1/12/2025,4/19/2024
Heathcote-Ryan,Portugal,Education & Science,Micro,Michael Brown,4/26/2024,SAAS,Churned Customer,7,,,663,40,2/17/2025,5/29/2024
"Leuschke, Mohr and Rolfson",Switzerland,Transportation & Logistics,Micro,John Smith,3/11/2024,Services,Churned Customer,7,,,1039,70,12/13/2024,6/14/2024
Reinger and Sons,Austria,Banking and Finance,Micro,Jessica Martinez,1/13/2024,SAAS,Churned Customer,7,,,991,40,4/30/2024,3/26/2024
Klocko Group,Switzerland,Transportation & Logistics,Micro,Jessica Martinez,1/6/2024,SAAS,Churned Customer,7,,,820,20,10/24/2024,2/9/2024
"Koch, Kerluke and Kuphal",Portugal,Transportation & Logistics,Micro,Laura Thompson,2/20/2024,SAAS,Churned Customer,7,,,884,100,1/10/2025,4/3/2024
Wolf Inc,Netherlands,Energy & Utilities,Micro,Sarah Davis,2/22/2024,Custom solution,Churned Customer,7,,,1057,60,2/7/2025,6/14/2024
Hoeger-Jakubowski,France,Transportation & Logistics,Micro,Jessica Martinez,5/30/2024,Services,Churned Customer,7,,,654,20,11/2/2024,8/23/2024
Ziemann LLC,Italy,Construction & Engineering,Micro,Jessica Martinez,1/17/2024,SAAS,Churned Customer,7,,,913,50,3/13/2024,2/19/2024
Flashspan,Spain,Telecommunications,Medium,John Smith,4/25/2024,SAAS,Churned Customer,7,,,5555,50,2/28/2025,4/30/2024
Wordpedia,Italy,Transportation & Logistics,Medium,Emily Johnson,4/21/2024,Custom solution,Churned Customer,7,,,5916,10,10/13/2024,6/9/2024
Quaxo,Italy,Government Administration Healthcare,Medium,Michael Brown,2/26/2024,Services,Churned Customer,7,,,1352,20,6/16/2024,4/25/2024
Skivee,Portugal,Recreation & Sports,Medium,Jessica Martinez,5/4/2024,Custom solution,Churned Customer,7,,,7313,90,5/31/2024,8/21/2024
BlogXS,Spain,Construction & Engineering,Medium,Jessica Martinez,5/13/2024,Custom solution,Churned Customer,7,,,481,50,6/7/2024,6/21/2024
Buzzster,France,Retail & Distribution,Medium,Jessica Martinez,2/23/2024,Services,Churned Customer,7,,,5122,20,7/31/2024,3/23/2024
Wyman-Goodwin,Austria,Education & Science,Medium,Laura Thompson,2/1/2024,SAAS,Churned Customer,7,,,7898,30,9/5/2024,3/2/2024
Cruickshank-Weimann,Switzerland,IT & IT Services,Medium,Laura Thompson,3/18/2024,Custom solution,Churned Customer,7,,,5718,30,8/3/2024,6/8/2024
Schaden-Bode,Switzerland,Education & Science,Medium,David Wilson,2/10/2024,Services,Churned Customer,7,,,2849,90,9/15/2024,2/16/2024
Walker LLC,Spain,Professional Services  & Consulting,Medium,Jessica Martinez,1/12/2024,Services,Churned Customer,7,,,3612,40,7/24/2024,4/2/2024
"Tremblay, Lebsack and Gerhold",Spain,Transportation & Logistics,Medium,Jessica Martinez,4/5/2024,SAAS,Churned Customer,7,,,1333,20,6/28/2024,6/1/2024
O'Reilly-Ferry,Switzerland,Banking and Finance,Medium,John Smith,1/18/2024,Services,Churned Customer,7,,,2367,20,1/7/2025,5/12/2024
Bartoletti-Aufderhar,Germany,Professional Services  & Consulting,Medium,David Wilson,4/7/2024,Services,Churned Customer,7,,,3651,40,7/28/2024,4/12/2024
Kiehn-Kshlerin,Italy,Government Administration Healthcare,Medium,Michael Brown,2/23/2024,SAAS,Churned Customer,7,,,1647,10,1/1/2025,5/24/2024
Haley Group,Spain,IT & IT Services,Medium,John Smith,2/18/2024,SAAS,Churned Customer,7,,,3098,40,11/12/2024,3/1/2024
"Hegmann, Larkin and Bednar",France,Agriculture & Mining,Medium,Kevin Anderson,2/15/2024,Services,Churned Customer,7,,,7604,40,11/14/2024,3/2/2024
"Lynch, Kihn and Bartell",Germany,Retail & Distribution,Medium,Kevin Anderson,3/3/2024,Services,Churned Customer,7,,,3858,50,6/20/2024,4/1/2024
"Schinner, Bogisich and Batz",Austria,Education & Science,Medium,Emily Johnson,1/12/2024,SAAS,Churned Customer,7,,,785,70,7/17/2024,4/14/2024
Grimes and Sons,Spain,Government Administration Healthcare,Medium,Jessica Martinez,1/20/2024,SAAS,Churned Customer,7,,,4410,40,6/10/2024,3/7/2024
"VonRueden, Gerlach and Schiller",France,Professional Services  & Consulting,Medium,Laura Thompson,4/10/2024,Services,Churned Customer,7,,,3455,100,12/11/2024,6/11/2024
"Heller, Effertz and Tromp",Belgium,Banking and Finance,Medium,Laura Thompson,2/14/2024,SAAS,Churned Customer,7,,,7486,40,12/22/2024,5/11/2024
Emard-Lind,Switzerland,Retail & Distribution,Medium,Michael Brown,3/3/2024,Services,Churned Customer,7,,,4521,90,12/12/2024,3/6/2024
O'Hara-Wyman,Italy,Government Administration Healthcare,Medium,David Wilson,5/30/2024,SAAS,Churned Customer,7,,,1641,20,7/9/2024,9/6/2024
Tillman-Greenholt,Italy,Education & Science,Medium,Michael Brown,1/2/2024,SAAS,Churned Customer,7,,,3545,40,7/13/2024,4/27/2024
Powlowski LLC,Italy,Manufacturing & Production,Medium,Jessica Martinez,5/18/2024,SAAS,Churned Customer,7,,,5862,60,9/27/2024,7/6/2024
O'Reilly-Stanton,Netherlands,IT & IT Services,Medium,Kevin Anderson,3/17/2024,Services,Churned Customer,7,,,6124,20,6/28/2024,7/5/2024
O'Reilly-Bruen,France,Government Administration Healthcare,Medium,Laura Thompson,2/5/2024,Services,Churned Customer,7,,,2002,30,12/23/2024,3/20/2024
Kirlin and Sons,Portugal,Government Administration Healthcare,Medium,Jessica Martinez,1/2/2024,Services,Churned Customer,7,,,3182,20,5/5/2024,3/3/2024
MacGyver LLC,Belgium,Agriculture & Mining,Medium,Jessica Martinez,2/4/2024,SAAS,Churned Customer,7,,,7019,30,3/2/2024,5/12/2024
Lemke-Crooks,Italy,Transportation & Logistics,Medium,John Smith,4/17/2024,SAAS,Churned Customer,7,,,2816,70,8/4/2024,5/18/2024
"Hirthe, Grady and Cummings",Switzerland,Banking and Finance,Medium,Emily Johnson,5/24/2024,SAAS,Churned Customer,7,,,734,40,8/4/2024,8/27/2024
Crooks-Wiza,Italy,Banking and Finance,Medium,Michael Brown,3/23/2024,SAAS,Churned Customer,7,,,7204,20,11/22/2024,6/24/2024
"Ortiz, Bashirian and Pfannerstill",Italy,Professional Services  & Consulting,Medium,Jessica Martinez,4/1/2024,SAAS,Churned Customer,7,,,2921,60,2/13/2025,6/2/2024
"Orn, Blanda and Oberbrunner",Portugal,Government Administration Healthcare,Medium,Emily Johnson,3/9/2024,Services,Churned Customer,7,,,2653,50,1/31/2025,5/30/2024
Boyle Inc,France,Telecommunications,Medium,Sarah Davis,5/29/2024,Custom solution,Churned Customer,7,,,4849,30,7/20/2024,7/23/2024
"Rodriguez, Little and Jast",Switzerland,IT & IT Services,Medium,Laura Thompson,3/28/2024,Custom solution,Churned Customer,7,,,1092,40,1/2/2025,7/13/2024
Bosco LLC,Portugal,Entertainment & Media & Hospitality,Medium,Jessica Martinez,5/10/2024,Custom solution,Churned Customer,7,,,5902,50,4/29/2025,7/27/2024
Bergnaum LLC,Italy,Telecommunications,Medium,Michael Brown,5/4/2024,Custom solution,Churned Customer,7,,,625,40,10/4/2024,8/3/2024
"Corkery, Block and Frami",Italy,Transportation & Logistics,Medium,Emily Johnson,2/1/2024,Services,Churned Customer,7,,,7655,60,3/31/2024,4/27/2024
"Auer, Bogisich and Kovacek",Italy,IT & IT Services,Medium,Michael Brown,4/14/2024,Custom solution,Churned Customer,7,,,7270,30,10/3/2024,7/26/2024
Jones and Sons,Italy,Telecommunications,Medium,Emily Johnson,1/12/2024,Custom solution,Churned Customer,7,,,6482,90,1/3/2025,3/24/2024
"Wilderman, Bayer and Hickle",Belgium,Transportation & Logistics,Medium,Laura Thompson,1/10/2024,Services,Churned Customer,7,,,3196,30,5/21/2024,3/21/2024
"Rutherford, Lueilwitz and Frami",Italy,Manufacturing & Production,Medium,Michael Brown,2/1/2024,Services,Churned Customer,7,,,5812,90,12/25/2024,3/28/2024
Lang LLC,Spain,Transportation & Logistics,Medium,John Smith,1/20/2024,SAAS,Churned Customer,7,,,2015,100,1/2/2025,2/5/2024
Auer Group,Spain,Agriculture & Mining,Medium,Laura Thompson,1/12/2024,Services,Churned Customer,7,,,3580,30,5/29/2024,2/24/2024
"Hilll, Jacobi and Cormier",Austria,Government Administration Healthcare,Medium,John Smith,3/1/2024,SAAS,Churned Customer,7,,,1985,60,1/26/2025,6/1/2024
Reinger LLC,Portugal,Transportation & Logistics,Medium,Kevin Anderson,2/17/2024,Services,Churned Customer,7,,,7799,60,6/21/2024,2/25/2024
"Heaney, Hickle and Marquardt",Portugal,IT & IT Services,Medium,Jessica Martinez,5/1/2024,Services,Churned Customer,7,,,1142,50,12/5/2024,7/17/2024
Hudson-Morar,Belgium,Government Administration Healthcare,Medium,Laura Thompson,3/17/2024,Services,Churned Customer,7,,,5858,40,5/19/2024,5/2/2024
Heller-Hartmann,Italy,Construction & Engineering,Medium,Sarah Davis,2/10/2024,SAAS,Churned Customer,7,,,2557,50,5/24/2024,2/24/2024
Torphy-Pouros,Portugal,Banking and Finance,Medium,John Smith,2/8/2024,Services,Churned Customer,7,,,3207,60,10/18/2024,6/7/2024
Zulauf-Gutkowski,Italy,Agriculture & Mining,Medium,Michael Brown,5/10/2024,SAAS,Churned Customer,7,,,797,70,11/30/2024,8/2/2024
"Kunde, O'Keefe and Skiles",Germany,Banking and Finance,Medium,Michael Brown,1/3/2024,Services,Churned Customer,7,,,6018,40,7/8/2024,4/1/2024
Raynor Group,Netherlands,Banking and Finance,Medium,Laura Thompson,2/25/2024,Custom solution,Churned Customer,7,,,3011,90,9/2/2024,5/31/2024
Konopelski Group,Portugal,Telecommunications,Medium,Laura Thompson,1/31/2024,Services,Churned Customer,7,,,655,80,5/23/2024,2/12/2024
"Johnson, Sporer and Kertzmann",Spain,IT & IT Services,Medium,Emily Johnson,2/7/2024,Custom solution,Churned Customer,7,,,2589,60,12/19/2024,4/15/2024
"Predovic, Ryan and Wisoky",Portugal,Banking and Finance,Medium,Laura Thompson,5/11/2024,SAAS,Churned Customer,7,,,2378,50,9/17/2024,9/3/2024
Bernhard-Padberg,Portugal,Energy & Utilities,Medium,Laura Thompson,3/29/2024,SAAS,Churned Customer,7,,,4592,40,12/25/2024,7/9/2024
"Kemmer, Crona and Dietrich",Austria,Transportation & Logistics,Medium,Emily Johnson,3/9/2024,SAAS,Churned Customer,7,,,7969,30,6/15/2024,7/6/2024
Bruen and Sons,Netherlands,Transportation & Logistics,Medium,Michael Brown,4/28/2024,SAAS,Churned Customer,7,,,1295,40,12/24/2024,8/22/2024
"Hickle, Rutherford and Ritchie",Netherlands,Agriculture & Mining,Medium,Laura Thompson,2/13/2024,Custom solution,Churned Customer,7,,,3184,100,6/21/2024,2/15/2024
"Hegmann, Jones and Schiller",Portugal,IT & IT Services,Medium,Emily Johnson,4/24/2024,SAAS,Churned Customer,7,,,2931,80,12/5/2024,5/7/2024
"Heidenreich, Bergnaum and Gleason",Spain,Education & Science,Medium,Jessica Martinez,1/30/2024,SAAS,Churned Customer,7,,,7888,10,8/9/2024,2/28/2024
Senger-Deckow,Germany,Retail & Distribution,Medium,Emily Johnson,3/30/2024,SAAS,Churned Customer,7,,,6007,50,11/22/2024,7/8/2024
"Krajcik, Hagenes and Cronin",Germany,Recreation & Sports,Medium,Emily Johnson,1/19/2024,SAAS,Churned Customer,7,,,6718,60,3/5/2024,2/23/2024
"Parisian, Kub and Wilderman",Italy,Government Administration Healthcare,Medium,Sarah Davis,1/31/2024,SAAS,Churned Customer,7,,,4828,100,1/25/2025,2/16/2024
Funk-Herman,Portugal,Education & Science,Medium,Emily Johnson,4/19/2024,SAAS,Churned Customer,7,,,3672,90,8/24/2024,7/27/2024
Mraz Group,Spain,Transportation & Logistics,Medium,Laura Thompson,3/23/2024,Custom solution,Churned Customer,7,,,4088,20,11/28/2024,6/9/2024
Oberbrunner-Moore,Portugal,Education & Science,Medium,David Wilson,2/4/2024,Services,Churned Customer,7,,,1748,60,3/17/2024,2/23/2024
McLaughlin-Schmidt,France,Manufacturing & Production,Medium,Sarah Davis,2/15/2024,Custom solution,Churned Customer,7,,,3420,80,10/4/2024,4/8/2024
"Hane, Berge and Gleason",Switzerland,Professional Services  & Consulting,Medium,Jessica Martinez,5/5/2024,Services,Churned Customer,7,,,3736,90,10/7/2024,7/4/2024
Mynte,Italy,Education & Science,Large,Michael Brown,4/3/2024,SAAS,Churned Customer,7,,,13020,30,10/13/2024,5/11/2024
"Borer, Cremin and Rolfson",Switzerland,Government Administration Healthcare,Large,Sarah Davis,5/29/2024,Services,Churned Customer,7,,,12088,60,4/11/2025,9/7/2024
Hyatt and Sons,Italy,Government Administration Healthcare,Large,John Smith,3/13/2024,Services,Churned Customer,7,,,8026,100,11/18/2024,3/16/2024
Hamill-Purdy,Italy,IT & IT Services,Large,Michael Brown,1/18/2024,Services,Churned Customer,7,,,15725,10,7/9/2024,4/29/2024
Wiegand LLC,Switzerland,IT & IT Services,Large,Jessica Martinez,4/12/2024,SAAS,Churned Customer,7,,,4292,20,7/18/2024,5/7/2024
Bogan-Goldner,Netherlands,Telecommunications,Large,Laura Thompson,3/7/2024,Custom solution,Churned Customer,7,,,15281,30,7/17/2024,3/18/2024
Gabtune,Germany,Government Administration Healthcare,Enterprise,Emily Johnson,3/7/2024,SAAS,Churned Customer,7,,,18599,30,7/27/2024,6/11/2024
"Vandervort, Mosciski and White",France,Transportation & Logistics,Enterprise,Laura Thompson,1/6/2024,Custom solution,Churned Customer,7,,,2916,20,9/10/2024,4/7/2024
Labadie-Rath,Netherlands,Agriculture & Mining,Enterprise,Laura Thompson,4/25/2024,Custom solution,Churned Customer,7,,,13151,100,6/9/2024,8/1/2024
Berge LLC,Portugal,Transportation & Logistics,Enterprise,John Smith,4/8/2024,Services,Churned Customer,7,,,13724,40,5/1/2024,5/31/2024
"Cole, McKenzie and Lakin",Italy,Transportation & Logistics,Enterprise,Jessica Martinez,2/28/2024,Custom solution,Churned Customer,7,,,2038,30,8/3/2024,6/16/2024
Quigley-Monahan,Germany,Education & Science,Enterprise,David Wilson,5/14/2024,Services,Churned Customer,7,,,16079,50,1/19/2025,6/1/2024
